No,Asset_ID,Ad,Grup,Poly_Haven_Sayfasi,EXR_2K_Direkt_Indirme
11,industrial_pipe_and_valve_02,Industrial Pipe and Valve 02,Endustriyel_Atolye,https://polyhaven.com/a/industrial_pipe_and_valve_02,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/industrial_pipe_and_valve_02_2k.exr
12,empty_warehouse_01,Empty Warehouse 01,Endustriyel_Atolye,https://polyhaven.com/a/empty_warehouse_01,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/empty_warehouse_01_2k.exr
13,auto_service,Auto Service,Endustriyel_Atolye,https://polyhaven.com/a/auto_service,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/auto_service_2k.exr
14,aircraft_workshop_01,Aircraft Workshop 01,Endustriyel_Atolye,https://polyhaven.com/a/aircraft_workshop_01,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/aircraft_workshop_01_2k.exr
15,garage,Garage,Endustriyel_Atolye,https://polyhaven.com/a/garage,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/garage_2k.exr
16,workshop,Workshop,Endustriyel_Atolye,https://polyhaven.com/a/workshop,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/workshop_2k.exr
17,small_workshop,Small Workshop,Endustriyel_Atolye,https://polyhaven.com/a/small_workshop,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/small_workshop_2k.exr
18,small_hangar_01,Small Hangar 01,Endustriyel_Atolye,https://polyhaven.com/a/small_hangar_01,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/small_hangar_01_2k.exr
19,small_hangar_02,Small Hangar 02,Endustriyel_Atolye,https://polyhaven.com/a/small_hangar_02,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/small_hangar_02_2k.exr
20,hangar_interior,Hangar Interior,Endustriyel_Atolye,https://polyhaven.com/a/hangar_interior,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/hangar_interior_2k.exr
21,peppermint_powerplant,Peppermint Powerplant,Endustriyel_Atolye,https://polyhaven.com/a/peppermint_powerplant,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/peppermint_powerplant_2k.exr
22,peppermint_powerplant_2,Peppermint Powerplant 2,Endustriyel_Atolye,https://polyhaven.com/a/peppermint_powerplant_2,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/peppermint_powerplant_2_2k.exr
23,old_bus_depot,Old Bus Depot,Endustriyel_Atolye,https://polyhaven.com/a/old_bus_depot,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/old_bus_depot_2k.exr
24,abandoned_workshop,Abandoned Workshop,Endustriyel_Atolye,https://polyhaven.com/a/abandoned_workshop,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/abandoned_workshop_2k.exr
25,abandoned_workshop_02,Abandoned Workshop 02,Endustriyel_Atolye,https://polyhaven.com/a/abandoned_workshop_02,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/abandoned_workshop_02_2k.exr
26,abandoned_factory_canteen_01,Abandoned Factory Canteen 01,Endustriyel_Atolye,https://polyhaven.com/a/abandoned_factory_canteen_01,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/abandoned_factory_canteen_01_2k.exr
27,abandoned_factory_canteen_02,Abandoned Factory Canteen 02,Endustriyel_Atolye,https://polyhaven.com/a/abandoned_factory_canteen_02,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/abandoned_factory_canteen_02_2k.exr
28,abandoned_greenhouse,Abandoned Greenhouse,Endustriyel_Atolye,https://polyhaven.com/a/abandoned_greenhouse,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/abandoned_greenhouse_2k.exr
29,old_depot,Old Depot,Endustriyel_Atolye,https://polyhaven.com/a/old_depot,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/old_depot_2k.exr
30,abandoned_garage,Abandoned Garage,Endustriyel_Atolye,https://polyhaven.com/a/abandoned_garage,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/abandoned_garage_2k.exr
31,carpentry_shop_01,Carpentry Shop 01,Endustriyel_Atolye,https://polyhaven.com/a/carpentry_shop_01,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/carpentry_shop_01_2k.exr
32,carpentry_shop_02,Carpentry Shop 02,Endustriyel_Atolye,https://polyhaven.com/a/carpentry_shop_02,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/carpentry_shop_02_2k.exr
33,empty_workshop,Empty Workshop,Endustriyel_Atolye,https://polyhaven.com/a/empty_workshop,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/empty_workshop_2k.exr
34,abandoned_construction,Abandoned Construction,Endustriyel_Atolye,https://polyhaven.com/a/abandoned_construction,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/abandoned_construction_2k.exr
35,abandoned_bakery,Abandoned Bakery,Endustriyel_Atolye,https://polyhaven.com/a/abandoned_bakery,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/abandoned_bakery_2k.exr
36,school_quad,School Quad,Kapali_Salon_Egitim,https://polyhaven.com/a/school_quad,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/school_quad_2k.exr
37,newman_lobby,Newman Lobby,Kapali_Salon_Egitim,https://polyhaven.com/a/newman_lobby,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/newman_lobby_2k.exr
38,events_hall_interior,Events Hall Interior,Kapali_Salon_Egitim,https://polyhaven.com/a/events_hall_interior,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/events_hall_interior_2k.exr
39,yoga_room,Yoga Room,Kapali_Salon_Egitim,https://polyhaven.com/a/yoga_room,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/yoga_room_2k.exr
40,climbing_gym,Climbing Gym,Kapali_Salon_Egitim,https://polyhaven.com/a/climbing_gym,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/climbing_gym_2k.exr
41,school_hall,School Hall,Kapali_Salon_Egitim,https://polyhaven.com/a/school_hall,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/school_hall_2k.exr
42,newman_cafeteria,Newman Cafeteria,Kapali_Salon_Egitim,https://polyhaven.com/a/newman_cafeteria,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/newman_cafeteria_2k.exr
43,debris_basement_corridor,Debris Basement Corridor,Kapali_Salon_Egitim,https://polyhaven.com/a/debris_basement_corridor,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/debris_basement_corridor_2k.exr
44,bank_vault,Bank Vault,Kapali_Salon_Egitim,https://polyhaven.com/a/bank_vault,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/bank_vault_2k.exr
45,rostock_laage_airport,Rostock-Laage Airport,Kapali_Salon_Egitim,https://polyhaven.com/a/rostock_laage_airport,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/rostock_laage_airport_2k.exr
46,large_corridor,Large Corridor,Kapali_Salon_Egitim,https://polyhaven.com/a/large_corridor,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/large_corridor_2k.exr
47,concrete_tunnel,Concrete Tunnel,Kapali_Salon_Egitim,https://polyhaven.com/a/concrete_tunnel,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/concrete_tunnel_2k.exr
48,concrete_tunnel_02,Concrete Tunnel 02,Kapali_Salon_Egitim,https://polyhaven.com/a/concrete_tunnel_02,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/concrete_tunnel_02_2k.exr
49,short_tunnel,Short Tunnel,Kapali_Salon_Egitim,https://polyhaven.com/a/short_tunnel,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/short_tunnel_2k.exr
50,birbeck_street_underpass,Birbeck Street Underpass,Kapali_Salon_Egitim,https://polyhaven.com/a/birbeck_street_underpass,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/birbeck_street_underpass_2k.exr
51,subway_entrance,Subway Entrance,Kapali_Salon_Egitim,https://polyhaven.com/a/subway_entrance,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/subway_entrance_2k.exr
52,metro_vijzelgracht,Metro Vijzelgracht,Kapali_Salon_Egitim,https://polyhaven.com/a/metro_vijzelgracht,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/metro_vijzelgracht_2k.exr
53,squash_court,Squash Court,Kapali_Salon_Egitim,https://polyhaven.com/a/squash_court,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/squash_court_2k.exr
54,crossfit_gym,Crossfit Gym,Kapali_Salon_Egitim,https://polyhaven.com/a/crossfit_gym,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/crossfit_gym_2k.exr
55,gym_entrance,Gym Entrance,Kapali_Salon_Egitim,https://polyhaven.com/a/gym_entrance,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/gym_entrance_2k.exr
56,gym_01,Gym 01,Kapali_Salon_Egitim,https://polyhaven.com/a/gym_01,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/gym_01_2k.exr
57,kart_club,Kart Club,Kapali_Salon_Egitim,https://polyhaven.com/a/kart_club,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/kart_club_2k.exr
58,billiard_hall,Billiard Hall,Kapali_Salon_Egitim,https://polyhaven.com/a/billiard_hall,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/billiard_hall_2k.exr
59,empty_play_room,Empty Play Room,Kapali_Salon_Egitim,https://polyhaven.com/a/empty_play_room,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/empty_play_room_2k.exr
60,unfinished_office,Unfinished Office,Kapali_Salon_Egitim,https://polyhaven.com/a/unfinished_office,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/unfinished_office_2k.exr
61,unfinished_office_night,Unfinished Office Night,Kapali_Salon_Egitim,https://polyhaven.com/a/unfinished_office_night,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/unfinished_office_night_2k.exr
62,small_empty_room_1,Small Empty Room 1,Kapali_Salon_Egitim,https://polyhaven.com/a/small_empty_room_1,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/small_empty_room_1_2k.exr
63,small_empty_room_2,Small Empty Room 2,Kapali_Salon_Egitim,https://polyhaven.com/a/small_empty_room_2,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/small_empty_room_2_2k.exr
64,small_empty_room_4,Small Empty Room 4,Kapali_Salon_Egitim,https://polyhaven.com/a/small_empty_room_4,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/small_empty_room_4_2k.exr
65,entrance_hall,Entrance Hall,Kapali_Salon_Egitim,https://polyhaven.com/a/entrance_hall,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/entrance_hall_2k.exr
66,overcast_industrial_courtyard,Overcast Industrial Courtyard,Dis_Saha_Asfalt,https://polyhaven.com/a/overcast_industrial_courtyard,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/overcast_industrial_courtyard_2k.exr
67,stadium_exterior,Stadium Exterior,Dis_Saha_Asfalt,https://polyhaven.com/a/stadium_exterior,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/stadium_exterior_2k.exr
68,abandoned_parking,Abandoned Parking,Dis_Saha_Asfalt,https://polyhaven.com/a/abandoned_parking,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/abandoned_parking_2k.exr
69,driving_school,Driving School,Dis_Saha_Asfalt,https://polyhaven.com/a/driving_school,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/driving_school_2k.exr
70,mall_parking_lot,Mall Parking Lot,Dis_Saha_Asfalt,https://polyhaven.com/a/mall_parking_lot,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/mall_parking_lot_2k.exr
71,suburban_parking_area,Suburban Parking Area,Dis_Saha_Asfalt,https://polyhaven.com/a/suburban_parking_area,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/suburban_parking_area_2k.exr
72,learner_park,Learner Park,Dis_Saha_Asfalt,https://polyhaven.com/a/learner_park,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/learner_park_2k.exr
73,skidpan,Skidpan,Dis_Saha_Asfalt,https://polyhaven.com/a/skidpan,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/skidpan_2k.exr
74,zwartkops_pit,Zwartkops Pit,Dis_Saha_Asfalt,https://polyhaven.com/a/zwartkops_pit,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/zwartkops_pit_2k.exr
75,zwartkops_straight_morning,Zwartkops Straight Morning,Dis_Saha_Asfalt,https://polyhaven.com/a/zwartkops_straight_morning,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/zwartkops_straight_morning_2k.exr
76,wide_street_01,Wide Street 01,Dis_Saha_Asfalt,https://polyhaven.com/a/wide_street_01,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/wide_street_01_2k.exr
77,wide_street_02,Wide Street 02,Dis_Saha_Asfalt,https://polyhaven.com/a/wide_street_02,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/wide_street_02_2k.exr
78,urban_street_01,Urban Street 01,Dis_Saha_Asfalt,https://polyhaven.com/a/urban_street_01,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/urban_street_01_2k.exr
79,urban_street_02,Urban Street 02,Dis_Saha_Asfalt,https://polyhaven.com/a/urban_street_02,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/urban_street_02_2k.exr
80,urban_street_03,Urban Street 03,Dis_Saha_Asfalt,https://polyhaven.com/a/urban_street_03,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/urban_street_03_2k.exr
81,urban_street_04,Urban Street 04,Dis_Saha_Asfalt,https://polyhaven.com/a/urban_street_04,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/urban_street_04_2k.exr
82,urban_alley_01,Urban Alley 01,Dis_Saha_Asfalt,https://polyhaven.com/a/urban_alley_01,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/urban_alley_01_2k.exr
83,urban_courtyard_02,Urban Courtyard 02,Dis_Saha_Asfalt,https://polyhaven.com/a/urban_courtyard_02,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/urban_courtyard_02_2k.exr
84,pretville_street,Pretville Street,Dis_Saha_Asfalt,https://polyhaven.com/a/pretville_street,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/pretville_street_2k.exr
85,hanger_exterior_cloudy,Hanger Exterior Cloudy,Dis_Saha_Asfalt,https://polyhaven.com/a/hanger_exterior_cloudy,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/hanger_exterior_cloudy_2k.exr
86,derelict_underpass,Derelict Underpass,Dis_Saha_Asfalt,https://polyhaven.com/a/derelict_underpass,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/derelict_underpass_2k.exr
87,derelict_overpass,Derelict Overpass,Dis_Saha_Asfalt,https://polyhaven.com/a/derelict_overpass,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/derelict_overpass_2k.exr
88,teufelsberg_roof,Teufelsberg Roof,Dis_Saha_Asfalt,https://polyhaven.com/a/teufelsberg_roof,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/teufelsberg_roof_2k.exr
89,quadrangle_cloudy,Quadrangle Cloudy,Dis_Saha_Asfalt,https://polyhaven.com/a/quadrangle_cloudy,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/quadrangle_cloudy_2k.exr
90,quadrangle_sunny,Quadrangle Sunny,Dis_Saha_Asfalt,https://polyhaven.com/a/quadrangle_sunny,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/quadrangle_sunny_2k.exr
91,blocky_photo_studio,Blocky Photo Studio,Studyo_Aydinlatma,https://polyhaven.com/a/blocky_photo_studio,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/blocky_photo_studio_2k.exr
92,photo_studio_01,Photo Studio 01,Studyo_Aydinlatma,https://polyhaven.com/a/photo_studio_01,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/photo_studio_01_2k.exr
93,studio_small_01,Studio Small 01,Studyo_Aydinlatma,https://polyhaven.com/a/studio_small_01,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/studio_small_01_2k.exr
94,studio_small_02,Studio Small 02,Studyo_Aydinlatma,https://polyhaven.com/a/studio_small_02,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/studio_small_02_2k.exr
95,studio_small_04,Studio Small 04,Studyo_Aydinlatma,https://polyhaven.com/a/studio_small_04,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/studio_small_04_2k.exr
96,studio_small_05,Studio Small 05,Studyo_Aydinlatma,https://polyhaven.com/a/studio_small_05,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/studio_small_05_2k.exr
97,studio_small_06,Studio Small 06,Studyo_Aydinlatma,https://polyhaven.com/a/studio_small_06,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/studio_small_06_2k.exr
98,cyclorama_hard_light,Cyclorama Hard Light,Studyo_Aydinlatma,https://polyhaven.com/a/cyclorama_hard_light,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/cyclorama_hard_light_2k.exr
99,pav_studio_01,PAV Studio 01,Studyo_Aydinlatma,https://polyhaven.com/a/pav_studio_01,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/pav_studio_01_2k.exr
100,monochrome_studio_01,Monochrome Studio 01,Studyo_Aydinlatma,https://polyhaven.com/a/monochrome_studio_01,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/monochrome_studio_01_2k.exr
